ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,factor_expansion
2024,7,18306,1,82,1,1,202304183061008213,1,3,3,1,2,,1,32,3,4,1.0,1.0,1992,1,,,,,,,,,,,,,,,,9333.0,5224.0,2,,3,2,1,1.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,1,1,1,1,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,1516,,,,,,,1516.0,1516.0,1516,1,517.236640392466
2024,7,18306,1,82,1,1,202304183061008214,1,4,3,1,2,,2,35,4,4,20.0,2.0,1989,1,,,,,,,,,,,,,,,,5230.0,4220.0,3,5,1,,3,60.0,0.0,8.0,8.0,8.0,8.0,8.0,5.0,45.0,,45.0,1,,2,,2,1,4,2500,,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,2500.0,,,,,,,,624,2500.0,2500.0,3124,1,514.646278138926
2024,7,18306,1,83,1,1,202304183061008311,1,1,1,1,2,,1,39,1,1,15.0,1.0,1985,1,,,,,,,,,,,,,,,,4415.0,8423.0,3,2,,,5,9998.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,2,,2,2,4,3700,,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,3700.0,,,,,,,,974,3700.0,3700.0,4674,1,517.236640392466
2024,7,18306,1,83,1,1,202304183061008312,1,2,2,1,2,,2,34,2,2,17.0,3.0,1990,1,,,,,,,,,,,,,,,,5244.0,4661.0,3,5,1,,5,2500.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,48.0,,48.0,1,,2,,2,2,4,1025,,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1025.0,,,,,,,,1505,1025.0,1025.0,2530,1,514.646278138926
2024,7,18306,1,83,1,1,202304183061008313,1,3,3,1,2,,2,17,3,3,6.0,3.0,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,2,2,11,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,502.564714561057
2024,7,18344,1,44,1,1,202304183441004411,1,1,1,1,2,,2,64,1,2,3.0,11.0,1959,1,,,,,,,,,,,,,,,,9533.0,4789.0,2,,3,2,1,1.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,30.0,,30.0,1,,2,,2,2,,,,,,,,,,,,,,,,,1,1,1,5,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,350,,,,,,,350.0,350.0,350,1,309.265467444441
2024,7,18344,1,44,1,1,202304183441004412,1,2,3,1,2,,1,29,2,2,16.0,6.0,1995,1,,,,,,,,,,,,,,,,2611.0,9499.0,3,5,1,,4,150.0,0.0,8.0,8.0,8.0,8.0,8.0,4.0,44.0,,44.0,1,,1,1,1,2,4,3500,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,6,,2,2,2,2,2,2,10,7,1,3500.0,,,,,,,,,3500.0,3500.0,3500,1,394.582472685184
2024,7,18344,1,45,1,1,202304183441004512,1,1,1,1,2,,2,55,1,1,16.0,10.0,1968,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,5142.0,8690.0,2,,3,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,1,,1,2,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,80,,,,,,,80.0,80.0,80,1,309.265467444441
2024,7,18344,1,45,1,1,202304183441004511,1,2,2,1,2,,1,78,2,2,4.0,5.0,1946,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,2,7,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,6,5,,1,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,352.309774913298
2024,7,18344,1,45,1,1,202304183441004513,1,3,11,1,2,,1,76,3,3,14.0,9.0,1947,1,,,,,,,,,,,,,,,,9122.0,4520.0,2,,3,2,1,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,56.0,12.0,68.0,1,,1,1,1,1,,,,,,,,100.0,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,1,,,2020,,,100,,,,2120.0,2020.0,2120,1,352.309774913298
2024,7,18344,1,47,1,1,202304183441004711,1,1,1,1,2,,1,69,1,2,21.0,12.0,1954,1,,,,,,,,,,,,,,,,4110.0,5210.0,3,5,1,,2,30.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,2,,2,2,4,6000,700.0,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,6000.0,700,,,,,,,1917,6700.0,6700.0,8617,1,352.309774913298
2024,7,18344,1,47,1,1,202404183441004712,1,2,2,1,2,,2,66,2,2,15.0,7.0,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,1,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,309.265467444441
2024,7,18357,1,81,1,1,202307183571008111,1,1,1,1,2,,1,65,1,1,1.0,8.0,1958,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,1,3,,,1,4,2,,2,,2,,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,371.450696687132
2024,7,18357,1,81,1,1,202307183571008112,1,2,2,1,2,,2,65,2,2,31.0,8.0,1958,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,1,6,,,1,4,2,,2,,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,326.067800337869
2024,7,18357,1,81,1,1,202307183571008113,1,3,5,1,2,,1,20,3,1,27.0,4.0,2004,1,,,,,,,,,,,,,,,,9629.0,7710.0,3,5,1,,2,50.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,56.0,,56.0,2,48,2,,2,2,4,1800,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,6,1,1800.0,,,,,,,,,1800.0,1800.0,1800,1,377.185975330111
2024,7,18357,1,81,1,1,202307183571008114,1,4,5,1,2,,2,15,4,4,8.0,11.0,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,3,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,404.219243862878
2024,7,18357,1,83,1,1,202307183571008311,1,1,1,1,2,,1,67,1,1,15.0,12.0,1956,1,,,,,,,,,,,,,,,,5212.0,4721.0,2,,3,2,1,2.0,6.0,5.0,0.0,0.0,6.0,7.0,7.0,31.0,,41.0,2,41,2,,2,2,,,,,,,,,,,,,,,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,649,40.0,,,,,,689.0,689.0,689,1,371.450696687132
2024,7,18357,1,83,1,1,202307183571008312,1,2,2,1,2,,2,64,2,2,29.0,12.0,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,2,7,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,326.067800337869
2024,7,18357,1,83,1,1,202307183571008313,1,3,5,1,2,,2,18,3,3,16.0,6.0,2006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,404.219243862878
