anio,mes,conglomerado,muestra,selviv,hogar,region,llave_panel,estrato,c201,c203,c204,c205,c206,c207,c208,nroinf,c301_dia,c301_mes,c301_anio,c303,c304,c305,c306_1,c306_2,c306_3,c306_4,c306_5,c306_6,c306_7,c306_8,c306_9,c306_10,c306_10a,c306_11,c300n,c306a,c308_cod,c309_cod,c310,c311,c312,c313,c317,c317a,c318_1,c318_2,c318_3,c318_4,c318_5,c318_6,c318_7,c318_t,c328_t,whorat,c330,c331,c333,c334,p209h,c335,c338,c339_1,c341_t,c342,c344,c345_1,c347_t,c348,c350,c352,c353,c354,c355,c356,c357_i,c358,c359,seguro1,c361_1,c362_1,c361_2,c362_2,c361_3,c362_3,c361_4,c362_4,c361_5,c362_5,c361_6,c362_6,c361_7,c362_7,c361_8,c362_8,c364_1,c365_1,c364_2,c365_2,c364_3,c365_3,c364_4,c365_4,c366,c366_1,c366_2,c375_1,c375_2,c375_3,c375_4,c375_5,c375_6,c376,c377,ocup300,i339_1,d341_t,i342,d344,i345_1,i348,d347_t,d350,d351_t,ingtot,ingtotp,ingtrabw,resident,factor_expansion,trimestre,fa_amj24,fa_efm24,fa_jas24,fa_efm25,fa_son24,grupo_edad,tiene_seguro,nivel_educativo_agrupado
2025,1,20776,1,77,1,1,202410207761007711,1,1,1,1,2, ,2,58.0,1,30.0,12.0,1966.0,2,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,, , , , , ,,,,,,,,,,,, ,, , , , , ,,,, ,, ,, ,2,5,1,2,6, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4,, ,,,,,,, ,,,,1,,2025_EneFebMar,,,,746.977360749385,,40-59,1,Secundaria
2025,1,20776,1,77,1,1,202410207761007712,1,2,2,1,2, ,1,61.0,2,25.0,5.0,1963.0,2,1.0,, , , , , , , , , , , , ,2, ,8331.0,4921.0,3,5,1, ,5,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,48.0,2,48.0,2, ,2,2,4,2500.0,,, ,, ,, , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,4,5, ,2,2,2,2,2,2,10,7,1,2500.0, ,,,,,,,641,2500.0,2500.0,3141.0,1,,2025_EneFebMar,,,,828.524468545281,,60+,1,Primaria
2025,1,20776,1,77,1,1,202410207761007713,1,3,6,1,2, ,2,82.0,1,26.0,1.0,1942.0,2,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,, , , , , ,,,,,,,,,,,, ,, , , , , ,,,, ,, ,, ,2,7,1,2,7, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,4,2, ,2, ,3,4, ,1,2,2,2,2,2,10,7,4,, ,,,,,,, ,,,,1,,2025_EneFebMar,,,,746.977360749385,,60+,1,Primaria
2025,1,47318,1,21,1,1,202310473181002111,1,3,7,1,2, ,1,26.0,3,11.0,3.0,1998.0,1,,, , , , , , , , , , , , ,3, ,5131.0,5610.0,3,5,1, ,1,9.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,48.0,,48.0,1,,1,1,1,2,1,30.0,10.0,, ,, ,, , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,1,1,900.0,300,,,,,,, ,1200.0,1200.0,1200.0,1,,2025_EneFebMar,,,,1932.72407642901,,25-39,1,Superior Univ.
2025,1,47318,1,22,1,1,202310473181002212,1,2,2,1,2, ,2,33.0,2,11.0,9.0,1991.0,2,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,, , , , , ,,,,,,,,,,,, ,, , , , , ,,,, ,, ,, ,2,5,1,1,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,5,4,, ,,,,,,, ,,,,1,,2025_EneFebMar,,,,1821.41265375529,,25-39,1,Superior Univ.
2025,1,49905,1,17,1,1,202501499051001711,1,1,1,1,2, ,1,32.0,1,26.0,1.0,1992.0,1,,, , , , , , , , , , , , ,1, ,3411.0,8423.0,3,2, , ,5,9998.0,0.0,8.0,8.0,8.0,8.0,8.0,0.0,40.0,,40.0,1,,1,1,1,2,4,4500.0,,, ,, ,, , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,6, ,2,2,2,2,2,2,10,7,1,4500.0, ,,,,,,,1125,4500.0,4500.0,5625.0,1,,2025_EneFebMar,,,,1004.24539540349,,25-39,1,Superior Univ.
2025,1,49905,1,17,1,1,202501499051001712,1,2,2,1,2, ,2,31.0,2,13.0,11.0,1993.0,2,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,, , , , , ,,,,,,,,,,,, ,, , , , , ,,,, ,, ,, ,2,5,2,2,6, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4,, ,,,,,,, ,,,,1,,2025_EneFebMar,,,,946.407866995176,,25-39,1,Superior Univ.
2025,1,21380,1,59,1,1,202310213801005911,1,1,1,1,2, ,1,37.0,1,10.0,9.0,1987.0,2,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,, , , , , ,,,,,,,,,,,, ,, , , , , ,,,, ,, ,, ,2,5,1,1,12, ,2,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,7,2,, ,,,,,,, ,,,,1,,2025_EneFebMar,,,,1899.87311627269,,25-39,1,Superior Univ.
2025,1,21380,1,59,1,1,202310213801005912,1,2,2,1,2, ,2,40.0,2,29.0,4.0,1984.0,2,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,, , , , , ,,,,,,,,,,,, ,, , , , , ,,,, ,, ,, ,2,5,2,2,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4,, ,,,,,,, ,,,,1,,2025_EneFebMar,,,,1790.45367971112,,40-59,1,Secundaria
2025,1,21380,1,59,1,1,202310213801005913,1,3,3,1,2, ,1,20.0,1,13.0,6.0,2004.0,1,,, , , , , , , , , , , , ,3, ,9333.0,5223.0,3,5,1, ,5,3000.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,48.0,,48.0,1,,2, ,2,2,4,1700.0,12.0,, ,, ,, , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1700.0,360,,,,,,,426,2060.0,2060.0,2486.0,1,,2025_EneFebMar,,,,1520.69584685778,,15-24,1,Secundaria
