ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,factor_expansion
2024,9,47703,1,136,1,1,202409477031013612,1,2,2,1,2,,1,52,2,2,30.0,8.0,1972.0,1,,,,,,,,,,,,,,,,5414.0,8010.0,3,4,1,,4,400.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,84.0,,84.0,1,,2,,2,2,4,2600,217.0,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,1,,,2,2,2,2,2,2,1,1,1,2600.0,710,,,,,,,868,3310.0,3310.0,4178,1,1199.85086198258
2024,9,47703,1,136,1,1,202409477031013613,1,3,3,1,2,,1,14,3,3,10.0,8.0,2010.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,2,5,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,1,,2,2,2,2,2,2,10,5,4,,,,,,,,,,,,,1,1256.15175206864
2024,9,47703,1,136,1,1,202409477031013614,1,4,3,1,2,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2024,9,47703,1,137,1,1,202409477031013711,1,1,1,1,2,,1,48,1,1,25.0,8.0,1976.0,2,1,,,,,,,,,,,,,,,7127.0,4322.0,3,5,1,,5,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,54.0,2,54,2,,2,2,4,2000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,1,2000.0,,,,,,,,516,2000.0,2000.0,2516,1,1199.85086198258
2024,9,47703,1,137,1,1,202409477031013712,1,2,2,1,2,,2,52,2,2,12.0,1.0,1972.0,1,,,,,,,,,,,,,,,,5212.0,4711.0,2,,3,2,1,1.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,60.0,,60.0,1,,2,,2,2,,,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,2431,520.0,,,,,,2951.0,2951.0,2951,1,1103.31226750694
2024,9,47703,1,137,1,1,202409477031013713,1,3,3,1,2,,1,18,3,3,10.0,8.0,2006.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,13,5,3,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,1256.15175206864
2024,9,47703,1,138,1,1,202409477031013811,1,1,1,1,2,,1,44,1,1,12.0,9.0,1979.0,1,,,,,,,,,,,,,,,,7129.0,2393.0,3,5,1,,4,200.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,48.0,,48.0,1,,2,,2,2,4,2500,84.0,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,6,5,,2,2,2,2,2,2,10,6,1,2500.0,364,,,,,,,626,2864.0,2864.0,3490,1,1470.27302503381
2024,9,47703,1,138,1,1,202409477031013812,1,2,2,1,2,,2,46,2,2,24.0,7.0,1978.0,1,,,,,,,,,,,,,,,,9111.0,9700.0,6,,,,1,1.0,0.0,9.0,9.0,9.0,9.0,9.0,0.0,45.0,,45.0,1,,1,1,1,2,3,510,100.0,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,8,2,,2,2,2,2,2,2,10,6,1,1020.0,433,,,,,,,,1453.0,1453.0,1453,1,1103.31226750694
2024,9,47703,1,138,1,1,202409477031013813,1,3,3,1,2,,2,22,3,3,11.0,6.0,2002.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,2,13,3,1,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,3,,2,2,2,2,2,2,10,1,2,,,,,,,,,,,,,1,1356.25851052352
2024,9,47703,1,138,1,1,202409477031013814,1,4,3,1,2,,2,16,4,4,21.0,8.0,2008.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,9,4,,,,,,,,,,,,,1,1356.25851052352
