ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C300n,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_efm25
2025,01,47864,1,0034,1,1,202310478641003414,1,3,3,1,2, ,1,14,1,12,3,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,2,3,1,4,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1622.23455826543
2025,01,20263,1,0066,1,1,202401202631006611,1,1,1,1,2, ,2,32,1,16,8,1992,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2,7, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1302.23519868669
2025,01,20263,1,0066,1,1,202401202631006614,1,4,6,1,2, ,2,58,4,11,10,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1039.34234044503
2025,01,20263,1,0067,1,1,202401202631006711,1,1,1,1,2, ,1,63,1,28,6,1961,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,1,1,7, , ,1,4,2, ,2, ,2, ,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,10,2, ,2,2,2,2,2,2,10,7,3, , , , , , , , , , , , ,1,1152.80677233635
2025,01,20263,1,0067,1,1,202401202631006712,1,2,2,1,2, ,2,73,2,25,4,1951,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,7, , ,1,4,2, ,2, ,2, ,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,2,2,2,2,2,2,1,1,3, , , , , , , , , , , , ,1,1039.34234044503
2025,01,49808,1,0020,1,1,202401498081002011,1,1,1,1,2, ,1,27,1,16,12,1997,1, , , , , , , , , , , , , , ,1, ,3432,7310,3,5,2,2,1,8,10,0,8,8,8,8,10,52, ,52,1, ,2, ,2,2,3,600,100, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,8,2, ,2,2,2,2,2,2,10,7,1,1200,433, , , , , , ,100,1633,1633,1733,1,1268.49010540561
2025,01,26671,1,0117,1,1,202310266711011711,1,1,1,1,2, ,1,29,1,14,8,1995,1, , , , , , , , , , , , , , ,1, ,2642,6020,3,5,1, ,5,9998,0,7,7,7,7,7,7,42, ,42,1, ,2, ,2,2,4,4500, , , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,4500, , , , , , , , ,4500,4500,4500,1,2081.06767317614
2025,01,26671,1,0235,1,1,202310266711023511,1,1,1,1,2, ,1,67,1,18,6,1957,1, , , , , , , , , , , , , , ,1, ,1492,8549,3,5,1, ,2,30,0,9,9,9,9,9,0,45, ,45,1, ,2, ,2,2,4,6000, , , , , , , , , , , , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,6000, , , , , , , , ,6000,6000,6000,1,1736.16815015035
2025,01,26671,1,0235,1,1,202310266711023512,1,2,2,1,2, ,2,46,2,2,6,1978,1, , , , , , , , , , , , , , ,2, ,1169,5229,3,5,1, ,1,7,0,9,9,9,9,9,0,45, ,45,1, ,2, ,2,2,4,5000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,3,1,5000, , , , , , , ,624,5000,5000,5624,1,1565.28666545419
2025,01,26671,1,0235,1,1,202310266711023513,1,3,3,1,2, ,1,15,3,26,11,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,3, , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1665.72753755136
