ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_jas24
2024,07,22640,1,0086,1,1,202407226401008613,1,3,8,1,2, ,1,23,3,3,4,11,2000,1, , , , , , , , , , , , , , , ,4321,1313,3,5,1, ,2,30,0,8,8,8,8,8,8,48, ,48,1, ,1,1,1,2,2,400, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,8,2, ,2,2,2,2,2,2,10,7,1,1732, , , , , , , ,201,1732,1732,1933,1,979.079022919983
2024,07,22640,1,0087,1,1,202407226401008711,1,1,1,1,2, ,1,31,1,1,17,2,1993,1, , , , , , , , , , , , , , , ,3322,4773,3,5,1, ,4,300,0,8,8,8,8,8,6,46, ,46,1, ,1,1,1,2,4,1025, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,1025, , , , , , , ,255,1025,1025,1280,1,1079.88245161325
2024,07,22640,1,0087,1,1,202407226401008712,1,2,2,1,2, ,2,33,2,2,8,10,1990,1, , , , , , , , , , , , , , , ,4132,8010,3,4,1, ,5,2000,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,1800,27, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,1800,230, , , , , , ,558,2030,2030,2588,1,1074.47431436529
2024,07,22640,1,0087,1,1,202407226401008713,1,3,11,1,2, ,2,23,3,3,10,12,2000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,7, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,1,2,2,2,2,2,10,7,3, , , , , , , , , , , , ,1,1049.25052417538
2024,07,49720,1,0092,1,1,202407497201009211,1,1,1,1,2, ,2,50,1,1,13,5,1974,1, , , , , , , , , , , , , , , ,9112,7830,3,4,1, ,4,200,0,8,8,8,8,8,6,46, ,46,1, ,2, ,2,2,4,1060, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,1,1060, , , , , , , ,303,1060,1060,1363,1,1641.30751487739
2024,07,49720,1,0092,1,1,202407497201009212,1,2,3,1,2, ,1,16,2,2,3,7,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2,5, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1898.61794134283
2024,07,49720,1,0092,1,1,202407497201009214,1,4,6,1,2, ,2,74,4,4,27,6,1949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,7, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,3, , , , , , , , , , , , ,1,1641.30751487739
2024,07,49720,1,0093,1,1,202407497201009311,1,1,1,1,2, ,1,34,1,1,2,8,1989,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,3,0,0,0,0,0,0,6,6, ,60,2,60,1,1,1,1,2,80, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1,346, , , , , , , , ,346,346,346,1,2094.09470449022
2024,07,49720,1,0093,1,1,202407497201009312,1,2,2,1,2, ,2,30,2,2,28,6,1993,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , , , ,1,2083.60731157518
2024,07,49720,1,0096,1,1,202407497201009611,1,1,1,1,2, ,1,41,1,1,7,9,1982,1, , , , , , , , , , , , , , , ,7111,4100,3,5,3,2,1,7,0,8,8,8,8,8,5,45, ,45,1, ,1,1,1,2,2,720, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,4, ,6,2,2,2,2,2,2,10,5,1,3118, , , , , , , , ,3118,3118,3118,1,2094.09470449022
