ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_son24
2024,09,18134,1,0168,1,1,202409181341016813,1,4,3,1,2, ,1,19,4,4,15,2,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,371.054015132642
2024,09,18134,1,0168,1,1,202409181341016814,1,3,3,1,2, ,2,25,3,3,21,4,1999,1, , , , , , , , , , , , , , , ,4222,8220,3,5,1, ,4,200,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,2000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,2000, , , , , , , ,166,2000,2000,2166,1,399.00585967934
2024,09,18180,1,0056,1,1,202409181801005611,1,1,1,1,2, ,2,52,1,1,13,5,1972,1, , , , , , , , , , , , , , , ,9412,5610,3,5,3,2,1,2,0,0,0,0,0,0,4,4, ,4,1, ,2, ,2,2,2,20,10, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,4, ,2,2,2,2,2,2,10,7,1,87,43, , , , , , , ,130,130,130,1,577.821484442155
2024,09,18180,1,0057,1,1,202409181801005711,1,1,1,1,2, ,2,59,1,1,3,2,1965,1, , , , , , , , , , , , , , , ,5120,5629,2, ,3,2,1,2,10,0,0,0,0,0,2,12,30,42,1, ,2, ,2,2, , , , , ,150,40, , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1, ,2,2,2,2,2,2,10,7,1, , ,701,173,150, ,173, , ,1197,874,1197,1,577.821484442155
2024,09,18180,1,0058,1,1,202409181801005811,1,1,1,1,2, ,1,38,1,1,10,2,1986,1, , , , , , , , , , , , , , , ,4321,8121,3,4,1, ,5,9998,8,0,8,8,8,8,8,48, ,48,1, ,1,1,1,1,4,1365, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1365, , , , , , , ,339,1365,1365,1704,1,770.004437438156
2024,09,18180,1,0058,1,1,202409181801005812,1,2,2,1,2, ,2,35,2,1,27,3,1989,1, , , , , , , , , , , , , , , ,9535,4782,2, ,3,2,1,1,0,4,4,4,4,4,4,24, ,24,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,600, , , , , , ,600,600,600,1,707.423504392505
2024,09,18180,1,0058,1,1,202409181801005813,1,3,3,1,2, ,1,17,3,3,13,11,2006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,657.865856694421
2024,09,18180,1,0058,1,1,202409181801005814,1,4,3,1,2, ,2,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,09,17614,1,0070,1,1,202409176141007011,1,1,1,1,2, ,1,65,1,1,17,4,1959,1, , , , , , , , , , , , , , , ,8331,4921,2, ,3,2,1,1,16,16,16,16,16,16,16,112, ,112,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,1,1,1, , ,1052, , , , , , ,1052,1052,1052,1,322.961995060387
2024,09,17614,1,0070,1,1,202409176141007012,1,2,2,1,2, ,2,48,2,2,26,4,1976,1, , , , , , , , , , , , , , , ,9334,4921,3,5,3,2,1,2,16,16,16,16,0,16,16,96, ,96,1, ,2, ,2,2,1,120,22, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1,3600,660, , , , , , , ,4260,4260,4260,1,296.976851356225
2024,09,17614,1,0070,1,1,202409176141007013,1,3,3,1,2, ,1,24,3,3,17,12,1999,1, , , , , , , , , , , , , , , ,8331,4921,2, ,3,2,1,1,12,12,12,12,0,12,12,72, ,72,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,2, ,2,2,2,2,2,2,10,7,1, , ,1750, , , , , , ,1750,1750,1750,1,338.116418299142
2024,09,17614,1,0072,1,1,202409176141007211,1,1,1,1,2, ,2,32,1,1,8,7,1992,1, , , , , , , , , , , , , , , ,9533,4799,2, ,3,2,1,1,1,1,1,1,1,1,1,7, ,7,1, ,1,2,2,1, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,200, , , , , , ,200,200,200,1,363.587042999445
2024,09,17614,1,0072,1,1,202409176141007212,1,2,3,1,2, ,2,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,09,17614,1,0072,1,1,202409176141007213,1,3,3,1,2, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,09,17614,1,0072,1,1,202409176141007214,1,4,3,1,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,09,17614,1,0072,1,1,202409176141007215,1,5,3,1,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,09,17614,1,0072,2,1,202409176141007221,1,1,1,1,2, ,1,62,1,1,11,8,1962,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,6,6,6,0,6,6,6,36, ,36,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,7,1, , ,1200, , , , , , ,1200,1200,1200,1,322.961995060387
2024,09,17614,1,0072,2,1,202409176141007222,1,2,2,1,2, ,2,55,2,1,11,7,1969,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2, ,9533,4799,2, ,3,2,1,1,2,2,2,2,0,0,0,8, ,14,2,14,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,4, ,2,2,2,2,2,2,10,7,1, , ,480, , , , , , ,480,480,480,1,296.976851356225
2024,09,17614,1,0072,2,1,202409176141007223,1,3,5,1,2, ,1,14,3,1,10,11,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,3, , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,338.116418299142
2024,09,17614,1,0076,1,1,202409176141007611,1,1,1,1,2, ,2,58,1,1,12,12,1965,1, , , , , , , , , , , , , , , ,9537,4789,2, ,3,2,1,1,5,0,0,0,0,0,0,5, ,5,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,1, , ,173, , , , , , ,173,173,173,1,296.976851356225
2024,09,17614,1,0076,1,1,202409176141007612,1,2,3,1,2, ,1,30,2,2,13,6,1994,1, , , , , , , , , , , , , , , ,9333,4923,3,5,1, ,5,1100,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,1,3,500, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1000, , , , , , , , ,1000,1000,1000,1,395.7511091535
2024,09,24789,1,0058,1,1,202409247891005811,1,1,1,1,2, ,1,60,1,1,25,9,1963,1, , , , , , , , , , , , , , , ,3314,5610,1, ,2,2,1,2,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,10,3, ,2,2,2,2,2,2,10,7,1, , ,3000, , , , , , ,3000,3000,3000,1,811.265283804523
2024,09,24789,1,0058,1,1,202409247891005812,1,2,2,1,2, ,2,56,2,2,9,5,1968,1, , , , , , , , , , , , , , , ,4416,8521,3,5,1, ,5,1500,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,5000, , , , , , , , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,5000, , , , , , , ,1275,5000,5000,6275,1,745.991829638758
2024,09,24789,1,0058,1,1,202409247891005813,1,5,3,1,2, ,2,15,5,5,28,11,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,3, , ,2,2,2, ,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,917.018506478464
2024,09,24789,1,0058,1,1,202409247891005814,1,4,3,1,2, ,1,19,4,4,17,9,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2,5, , ,1,2,2, ,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,849.332479504697
2024,09,24789,1,0058,1,1,202409247891005815,1,3,3,1,2, ,2,29,3,3,9,5,1995,1, , , , , , , , , , , , , , , ,2161,4100,3,5,1, ,2,50,0,9,9,9,9,9,3,48, ,48,1, ,2, ,2,1,4,1600, , , , , , , , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,1600, , , , , , , , ,1600,1600,1600,1,913.313486224408
2024,09,24789,1,0060,1,1,202409247891006011,1,1,1,1,2, ,1,68,1,1,24,9,1955,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2, ,8322,4922,2, ,3,2,1,1,0,0,0,0,1,2,0,3, ,3,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , ,400, , , , , , ,400,400,400,1,811.265283804523
2024,09,24789,1,0060,1,1,202409247891006012,1,2,2,1,2, ,2,69,2,2,9,4,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,3, , ,1,1,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,6,4, , , , , , , , , , , , ,1,745.991829638758
2024,09,24789,1,0060,1,1,202409247891006013,1,3,3,1,2, ,1,34,3,3,15,1,1990,1, , , , , , , , , , , , , , , ,3439,9000,2, ,2,2,1,1,4,8,0,6,3,6,4,31, ,31,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2,2, ,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , ,5000, , , , , , ,5000,5000,5000,1,994.108101863001
