ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_efm24
2024,01,17938,1,0043,1,1,202401179381004311,1,1,1,1,2, ,2,57,1,1,24,7,1966,2,1, , , , , , , , , , , , , , ,2359,8521,3,5,1, ,3,60,0,0,0,0,0,0,0,0, ,40,2,40,1,1,1,2,4,2000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,2000, , , , , , , ,166,2000,2000,2166,1,613.767508270688
2024,01,17938,1,0043,1,1,202401179381004312,1,2,3,1,1, ,1,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2024,01,17938,1,0043,1,1,202401179381004313,1,3,3,1,2, ,1,32,3,3,3,10,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,1,13,1,1,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,2,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,822.404986747749
2024,01,17938,1,0043,1,1,202401179381004314,1,4,3,1,2, ,1,26,4,4,31,7,1997,1, , , , , , , , , , , , , , , ,3114,2220,3,5,1, ,4,300,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,1200, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,7,1,1200, , , , , , , , ,1200,1200,1200,1,822.404986747749
2024,01,25963,1,0113,1,1,202401259631011311,1,1,1,1,2, ,2,45,1,1,16,11,1978,1, , , , , , , , , , , , , , , ,5212,4711,3,5,2,2,1,3,0,10,0,10,10,10,0,40, ,40,1, ,1,1,1,1,2,120,52, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,520,225, , , , , , , ,745,745,745,1,524.692999377374
2024,01,25963,1,0113,1,1,202401259631011312,1,2,3,1,2, ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2024,01,21632,1,0133,1,1,202310216321013311,1,1,1,1,2, ,1,55,1,1,2,4,1968,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,10,0,10,10,10,10,10,60, ,60,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , ,2200, , , , , , ,2200,2200,2200,1,644.577742751251
2024,01,21632,1,0133,1,1,202310216321013312,1,2,2,1,2, ,2,54,2,2,11,4,1969,2,1, , , , , , , , , , , , , , ,3221,8610,3,5,1, ,4,200,0,0,0,0,0,0,0,0, ,36,2,36,1,2,2,2,4,1900, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,1900, , , , , , , ,482,1900,1900,2382,1,592.883447517272
2024,01,21632,1,0133,1,1,202310216321013313,1,3,3,1,2, ,1,19,3,3,2,12,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,1,1, , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,3, , , , , , , , , , , , ,1,698.81753342721
2024,01,21632,1,0133,1,1,202310216321013314,1,4,5,1,2, ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
